Model,MAE,RMSE,MAPE,rank_mae,rank_rmse,rank_mape,overall_rank
ARIMA,57255.57243095851,87800.3984903868,7.060908171443186,1.0,2.0,1.0,1.3333333333333333
Linear Regression,58153.226038910594,77780.60899400059,7.519752000081883,2.0,1.0,2.0,1.6666666666666667
Exponential Smoothing,121493.22260957632,178009.01956326532,15.825600984717372,3.0,3.0,3.0,3.0
Ensemble,196952.45857616203,293744.7449184524,25.15079283620357,4.0,4.0,4.0,4.0
Prophet,684828.7214490363,1135093.3889977946,88.5439339237327,5.0,5.0,5.0,5.0
